,,Search Results (2016-03-14),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Tag Number,Product,Zone,Inbound Account,Inbound Load Date,Inbound Gross Weight,Inbound Tare,Inbound Net Weight,Inbound Price Per LB,Inbound Price,Inbound Unit Count,Inbound Price Per Unit,Outbound Account,Outbound Load Date,Outbound Gross Weight,Outbound Tare,Outbound Net Weight,Outbound Price Per LB,Outbound Price,Outbound Unit Count,Outbound Price Per Unit,Comments
,,,,,,,,,,,,,,,,,,,,,,
,10420160033,Power Supplies (Industrial),,Salem Group,"January 04, 2016",891,35,856,0.22,188.32,,,Wai Mei Dat,"January 04, 2016",891,35,856,0.37,316.72,,,
,10420160036,Steel,,PRC Industries,"January 04, 2016",372,55,317,0,0,,,Smart Metals Recycling,"January 04, 2016",372,55,317,,0,,,
,10420160037,Irony Aluminum,,PRC Industries,"January 04, 2016",342,55,287,0.01,2.87,,,L. Gordon Iron & Metal,"January 04, 2016",342,55,287,0.18,51.66,,,
,10420160035,Power Supplies (Industrial),,Salem Group,"January 04, 2016",1027,35,992,0.22,218.24,,,Wai Mei Dat,"January 04, 2016",1027,35,992,0.37,367.04,,,
,10420160038,Steel,,PRC Industries,"January 04, 2016",395,35,360,0,0,,,Smart Metals Recycling,"January 04, 2016",395,35,360,,0,,,
,10420160039,Steel,,PRC Industries,"January 04, 2016",392,35,357,0,0,,,Smart Metals Recycling,"January 04, 2016",392,35,357,,0,,,
,10420160040,Steel,,PRC Industries,"January 04, 2016",262,55,207,0,0,,,Smart Metals Recycling,"January 04, 2016",262,55,207,,0,,,
,10420160041,Steel,,PRC Industries,"January 04, 2016",386,55,331,0,0,,,Smart Metals Recycling,"January 04, 2016",386,55,331,,0,,,
,10420160042,Steel,,PRC Industries,"January 04, 2016",367,55,312,0,0,,,Smart Metals Recycling,"January 04, 2016",367,55,312,,0,,,
,10420160043,Steel,,PRC Industries,"January 04, 2016",648,55,593,0,0,,,Smart Metals Recycling,"January 04, 2016",648,55,593,,0,,,
,10420160044,Steel,,PRC Industries,"January 04, 2016",384,35,349,0,0,,,Smart Metals Recycling,"January 04, 2016",384,35,349,,0,,,
,10420160045,Steel,,PRC Industries,"January 04, 2016",385,35,350,0,0,,,Smart Metals Recycling,"January 04, 2016",385,35,350,,0,,,
,10420160046,Power Supplies (Industrial),,Salem Group,"January 04, 2016",986,35,951,0.22,209.22,,,Wai Mei Dat,"January 04, 2016",986,35,951,0.37,351.87,,,
,10420160047,Power Supplies (Industrial),,Salem Group,"January 04, 2016",869,35,834,0.22,183.48,,,,,869,35,834,,0,,,
,10420160048,Steel,,PRC Industries,"January 04, 2016",565,55,510,0,0,,,Smart Metals Recycling,"January 04, 2016",565,55,510,,0,,,
,10420160049,Steel,,PRC Industries,"January 04, 2016",402,35,367,0,0,,,Smart Metals Recycling,"January 04, 2016",402,35,367,,0,,,
,10420160051,Power Supplies (Industrial),,Salem Group,"January 04, 2016",900,65,835,0.22,183.7,,,Wai Mei Dat,"January 04, 2016",900,65,835,0.37,308.95,,,
,10420160050,Steel,,PRC Industries,"January 04, 2016",400,35,365,0,0,,,Smart Metals Recycling,"January 04, 2016",400,35,365,,0,,,
